Date,Children apprehended and placed in CBP custody,Children in CBP custody,Children transferred out of CBP custody,Children in HHS Care,Children discharged from HHS Care,care_load_trend,care_load_seasonal,care_load_residual
2023-01-12,33.0,53.0,34.0,6566.0,436.0,439.545918367347,20.791543792326248,-24.337462159673233
2023-01-13,32.9,52.6,34.5,6621.6,415.1,417.84948979591843,21.74184085920495,-24.491330655123356
2023-01-14,32.8,52.2,35.0,6677.2,394.2,396.1530612244899,22.02002024784352,-23.973081472333405
2023-01-15,32.7,51.8,35.5,6732.8,373.3,373.29999999999995,22.28539483923852,-22.285394839238464
2023-01-16,32.6,51.4,36.0,6788.4,352.4,352.4,-24.992007839004494,24.992007839004494
2023-01-17,32.5,51.0,36.5,6844.0,331.5,331.49999999999994,-44.6268973503646,44.62689735036466
2023-01-18,32.4,50.6,37.0,6899.6,310.6,310.59999999999997,-17.219894549244145,17.219894549244202
2023-01-19,32.3,50.2,37.5,6955.2,289.7,289.7,20.791543792326248,-20.791543792326248
2023-01-20,32.2,49.8,38.0,7010.8,268.79999999999995,265.21428571428567,21.74184085920495,-18.15612657349066
2023-01-21,32.1,49.4,38.5,7066.4,247.9,242.85714285714283,22.02002024784352,-16.977163104986346
2023-01-22,32.0,49.0,39.0,7122.0,227.0,224.2,22.28539483923852,-19.48539483923851
2023-01-23,32.0,50.0,39.0,7280.0,181.0,212.92142857142858,-24.992007839004494,-6.929420732424084
2023-01-24,47.0,42.0,47.0,7433.0,175.0,209.02142857142857,-44.6268973503646,10.605468778936029
2023-01-25,20.0,22.0,41.0,7538.0,180.0,212.49999999999997,-17.219894549244145,-15.280105450755826
2023-01-26,20.75,27.75,33.5,7521.5,210.75,223.35714285714283,20.791543792326248,-33.398686649469084
2023-01-27,21.5,33.5,26.0,7505.0,241.5,225.49999999999997,21.74184085920495,-5.74184085920492
2023-01-28,22.25,39.25,18.5,7488.5,272.25,223.07142857142856,22.02002024784352,27.158551180727926
2023-01-29,23.0,45.0,11.0,7472.0,303.0,230.35714285714283,22.28539483923852,50.35746230361865
2023-01-30,34.0,54.0,29.0,7743.0,196.0,242.82142857142856,-24.992007839004494,-21.82942073242406
2023-01-31,26.0,36.0,36.0,7803.0,158.0,252.9880952380952,-44.6268973503646,-50.36119788773061
2023-02-01,25.0,32.0,27.0,7903.0,231.0,260.85714285714283,-17.219894549244145,-12.637248307898687
2023-02-02,15.0,13.0,23.0,7879.0,298.0,266.4285714285714,20.791543792326248,10.779884779102364
2023-02-03,15.333333333333334,14.666666666666666,20.333333333333332,7781.333333333333,312.6666666666667,266.42857142857144,21.74184085920495,24.496254378890292
2023-02-04,15.666666666666666,16.333333333333332,17.666666666666668,7683.666666666667,327.3333333333333,272.42857142857144,22.02002024784352,32.88474165691835
2023-02-05,16.0,18.0,15.0,7586.0,342.0,284.7142857142857,22.28539483923852,35.00031944647576
2023-02-06,11.0,22.0,12.0,7720.0,196.0,292.57142857142856,-24.992007839004494,-71.57942073242407
2023-02-07,16.0,20.0,20.0,7855.0,200.0,296.6190476190476,-44.6268973503646,-51.99215026868299
2023-02-08,93.0,196.0,169.0,7915.0,317.0,296.85714285714283,-17.219894549244145,37.36275169210131
2023-02-09,124.0,234.0,161.0,7908.0,353.0,293.2857142857143,20.791543792326248,38.92274192195947
2023-02-10,113.33333333333333,223.66666666666666,165.0,7750.0,341.0,300.1428571428571,21.74184085920495,19.11530199793794
2023-02-11,102.66666666666667,213.33333333333334,169.0,7592.0,329.0,303.4285714285714,22.02002024784352,3.5514083235850933
2023-02-12,92.0,203.0,173.0,7434.0,317.0,299.57142857142856,22.28539483923852,-4.856823410667076
2023-02-13,186.0,259.0,172.0,7483.0,244.0,300.7142857142857,-24.992007839004494,-31.72227787528123
2023-02-14,154.0,225.0,220.0,7794.0,223.0,298.1428571428571,-44.6268973503646,-30.51595979249251
2023-02-15,91.0,199.0,172.0,7869.0,290.0,291.85714285714283,-17.219894549244145,15.362751692101313
2023-02-16,81.0,213.0,153.0,7793.0,361.0,281.8571428571429,20.791543792326248,58.35131335053086
2023-02-17,113.0,231.0,160.75,7799.0,323.0,276.85714285714283,21.74184085920495,24.40101628365222
2023-02-18,145.0,249.0,168.5,7805.0,285.0,275.42857142857144,22.02002024784352,-12.448591676414964
2023-02-19,177.0,267.0,176.25,7811.0,247.0,267.1428571428571,22.28539483923852,-42.42825198209563
2023-02-20,209.0,285.0,184.0,7817.0,209.0,270.71428571428567,-24.992007839004494,-36.72227787528117
2023-02-21,184.0,314.0,217.0,7967.0,213.0,276.71428571428567,-44.6268973503646,-19.087388363921065
2023-02-22,107.0,215.0,230.0,7978.0,232.0,285.1428571428571,-17.219894549244145,-35.922962593612965
2023-02-23,101.0,162.0,178.0,7914.0,386.0,296.0,20.791543792326248,69.20845620767375
2023-02-24,100.33333333333333,171.33333333333334,177.33333333333334,7812.333333333333,365.0,301.57142857142856,21.74184085920495,41.686730569366496
